FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ccc.70,POINT (-12.312373000013894 9.240747000074043),73,SLE_0108,Makomre,Open,CCC,SLE0201,8,8,2014-12-01T00:00:00,UNICEF,,9.240747,-12.312373,XY generated from SL_Health_Facilities_Shapefile,2014-12-02T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.71,POINT (-12.947620000062907 9.011999000353633),0,SLE_0130,Rokupr CCC,Under Construction,CCC,SLE02,8,8,2014-12-29T00:00:00,UNICEF/Marie Stopes,,9.011999,-12.94762,,2014-12-27T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.72,POINT (-13.088110000076396 8.398064000153532),0,SLE_0128,John Thorpe CCC,Under Construction,CCC,SLE04,20,20,2014-12-24T00:00:00,OXFAM,,8.398064,-13.08811,,2014-12-15T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.73,POINT (-13.170832999942947 8.442222000445014),0,SLE_0112,Kontorloh CCC,Under Construction,CCC,SLE04,20,20,2014-12-29T00:00:00,OXFAM,DFID/OFDA,8.442222,-13.170833,,2014-12-13T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.74,POINT (-12.999721999770427 8.335555999909516),0,SLE_0113,Newton CCC,Under Construction,CCC,SLE04,8,8,,,,8.335556,-12.999722,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.75,POINT (-13.25555600030912 8.388333000167872),0,SLE_0114,Hamilton CCC,Under Construction,CCC,SLE04,8,8,,,,8.388333,-13.255556,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.76,POINT (-12.065107999834279 8.517314000041118),0,SLE_0115,Robis CCC,Open,CCC,SLE02,8,8,2014-12-10T00:00:00,UNICEF/CONCERN,DFID,8.517314,-12.065108,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.77,POINT (-11.859021000119014 8.657417000194451),0,SLE_0116,Matotoka CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.657417,-11.859021,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.78,POINT (-11.754059999968977 8.823514000270945),0,SLE_0117,Masumbiri CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.823514,-11.75406,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.79,POINT (-11.923536000286138 8.736174999776468),0,SLE_0118,Magbankor CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.736175,-11.923536,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.80,POINT (-11.99048899956763 8.477114999757482),0,SLE_0119,Masuna CCC,Open,CCC,SLE02,8,8,2014-12-10T00:00:00,UNICEF/CONCERN,DFID,8.477115,-11.990489,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.81,POINT (-11.49087799961994 9.063493999948188),0,SLE_0120,Bendugu CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,9.063494,-11.490878,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.82,POINT (-12.43008199988434 8.374448000175116),0,SLE_0121,Roruks CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.374448,-12.430082,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.83,POINT (-12.244967999673399 8.66289700019645),0,SLE_0122,Malal CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.662897,-12.244968,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.84,POINT (-11.749779000400501 8.940026999846214),0,SLE_0123,Kajida CCC,Open,CCC,SLE02,8,8,2014-12-10T00:00:00,UNICEF/CONCERN,DFID,8.940027,-11.749779,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.85,POINT (-12.133660000008947 8.35255899979805),0,SLE_0124,Masengbe CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.352559,-12.13366,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.86,POINT (-11.548451999859859 8.716571999598152),0,SLE_0125,Mamanso-Sanka CCC,Open,CCC,SLE02,8,8,2014-12-10T00:00:00,UNICEF/CONCERN,DFID,8.716572,-11.548452,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.87,POINT (-12.28474300018926 8.665938000138643),0,SLE_0126,Rochen CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.665938,-12.284743,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.88,POINT (-11.630206000006849 8.614205000360528),0,SLE_0127,Makeli CCC,Under Construction,CCC,SLE02,8,8,2014-12-20T00:00:00,UNICEF/CONCERN,DFID,8.614205,-11.630206,,2014-12-12T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.89,POINT (-13.187795999785516 8.621937999938794),0,SLE_0129,Gbaneh-lol,Open,EHC,SLE02,0,0,2014-12-14T00:00:00,Plan,WHO,8.621938,-13.187796,,2014-12-15T00:00:00,No,,Coordinates are approximate
sle_heal_pt_unmeer_ccc.90,POINT (-13.24471799963593 8.490234000398848),0,SLE_0111,MSF POW,Open,EHC,SLE04,0,0,,,,8.490234,-13.244718,UNMEER Checked coordinate,2014-12-11T00:00:00,No,,
